 valeurs;temps;profondeur;acces; noeuds ajoutés;feuille;taille;eclatements 
 53999892; 9.184; 4;  870741; 13605;  857141; 870746; 870741;
 54999890; 9.364; 4;  886866; 13857;  873014; 886871; 886866;
 55999888; 9.537; 4;  902991; 14109;  888887; 902996; 902991;
 56999886; 9.694; 4;  919115; 14360;  904760; 919120; 919115;
 57999884; 9.864; 4;  935240; 14612;  920633; 935245; 935240;
 58999882; 10.039; 4;  951365; 14864;  936506; 951370; 951365;
 59999880; 10.203; 4;  967490; 15116;  952379; 967495; 967490;
 60999878; 10.364; 4;  983615; 15368;  968252; 983620; 983615;
 61999876; 10.542; 4;  999740; 15620;  984125; 999745; 999740;
 62999874; 10.704; 4;  1015864; 15872;  999997; 1015869; 1015864;
 63999872; 10.874; 4;  1031989; 16124;  1015870; 1031994; 1031989;
 64999870; 11.044; 4;  1048113; 16375;  1031743; 1048118; 1048113;
 65999868; 11.214; 4;  1064239; 16628;  1047616; 1064244; 1064239;
 66999866; 11.374; 4;  1080365; 16881;  1063489; 1080370; 1080365;
 67999864; 11.545; 4;  1096490; 17133;  1079362; 1096495; 1096490;
 68999862; 11.714; 4;  1112615; 17385;  1095235; 1112620; 1112615;
 69999860; 11.885; 4;  1128740; 17637;  1111108; 1128745; 1128740;
 70999858; 12.055; 4;  1144865; 17889;  1126981; 1144870; 1144865;
 71999856; 12.224; 4;  1160990; 18141;  1142854; 1160995; 1160990;
 72999854; 12.385; 4;  1177114; 18392;  1158727; 1177119; 1177114;
 73999852; 12.555; 4;  1193239; 18644;  1174600; 1193244; 1193239;
 74999850; 12.725; 4;  1209364; 18896;  1190473; 1209369; 1209364;
 75999848; 12.895; 4;  1225489; 19148;  1206346; 1225494; 1225489;
 76999846; 13.055; 4;  1241614; 19400;  1222219; 1241619; 1241614;
 77999844; 13.225; 4;  1257739; 19652;  1238092; 1257744; 1257739;
 78999842; 13.395; 4;  1273864; 19904;  1253965; 1273869; 1273864;
 79999840; 13.556; 4;  1289989; 20156;  1269838; 1289994; 1289989;
 80999838; 13.726; 4;  1306113; 20407;  1285711; 1306118; 1306113;
 81999836; 13.895; 4;  1322238; 20659;  1301584; 1322243; 1322238;
 82999834; 14.075; 4;  1338364; 20912;  1317457; 1338369; 1338364;
 83999832; 14.246; 4;  1354489; 21164;  1333330; 1354494; 1354489;
 84999830; 14.416; 4;  1370614; 21416;  1349203; 1370619; 1370614;
 85999828; 14.586; 4;  1386739; 21668;  1365076; 1386744; 1386739;
 86999826; 14.746; 4;  1402864; 21920;  1380949; 1402869; 1402864;
 87999824; 14.915; 4;  1418989; 22172;  1396822; 1418994; 1418989;
 88999822; 15.086; 4;  1435113; 22423;  1412695; 1435118; 1435113;
